ms;heartrate;BPM;hart
104000;516;85;516
104002;519;85;519
104004;518;85;518
104006;518;85;518
104008;517;85;517
104010;518;85;518
104012;514;85;514
104014;514;85;514
104016;513;85;513
104018;513;85;513
104020;514;85;514
104022;512;85;512
104024;508;85;508
104026;510;85;510
104028;510;85;510
104030;509;85;509
104032;508;85;508
104034;508;85;508
104036;509;85;509
104038;509;85;509
104040;506;85;506
104042;506;85;506
104044;506;85;506
104046;504;85;504
104048;505;85;505
104050;506;85;506
104052;508;85;508
104054;506;85;506
104056;509;85;509
104058;509;85;509
104060;507;85;507
104062;507;85;507
104064;509;85;509
104066;509;85;509
104068;507;85;507
104070;508;85;508
104072;508;85;508
104074;510;85;510
104076;508;85;508
104078;510;85;510
104080;509;85;509
104082;509;85;509
104084;508;85;508
104086;511;85;511
104088;511;85;511
104090;511;85;511
104092;510;85;510
104094;513;85;513
104096;512;85;512
104098;516;85;516
104100;514;85;514
104102;513;85;513
104104;514;85;514
104106;513;85;513
104108;507;85;507
104110;513;85;513
104112;513;85;513
104114;514;85;514
104116;513;85;513
104118;513;85;513
104120;513;85;513
104122;514;85;514
104124;514;85;514
104126;515;85;515
104128;513;85;513
104130;513;85;513
104132;514;85;514
104134;515;85;515
104136;516;85;516
104138;516;85;516
104140;515;85;515
104142;515;85;515
104144;516;85;516
104146;515;85;515
104148;513;85;513
104150;515;85;515
104152;516;85;516
104154;517;85;517
104156;515;85;515
104158;514;85;514
104160;515;85;515
104162;514;85;514
104164;513;85;513
104166;516;85;516
104168;514;85;514
104170;513;85;513
104172;513;85;513
104174;516;85;516
104176;515;85;515
104178;515;85;515
104180;515;85;515
104182;512;85;512
104184;515;85;515
104186;514;85;514
104188;514;85;514
104190;513;85;513
104192;514;85;514
104194;511;85;511
104196;513;85;513
104198;513;85;513
104200;515;85;515
104202;513;85;513
104204;512;85;512
104206;514;85;514
104208;513;85;513
104210;513;85;513
104212;514;85;514
104214;515;85;515
104216;514;85;514
104218;515;85;515
104220;514;85;514
104222;514;85;514
104224;513;85;513
104226;513;85;513
104228;515;85;515
104230;516;85;516
104232;515;85;515
104234;514;85;514
104236;515;85;515
104238;514;85;514
104240;515;85;515
104242;515;85;515
104244;513;85;513
104246;514;85;514
104248;515;85;515
104250;514;85;514
104252;515;85;515
104254;515;85;515
104256;515;85;515
104258;516;85;516
104260;515;85;515
104262;515;85;515
104264;505;85;505
104266;515;85;515
104268;514;85;514
104270;514;85;514
104272;515;85;515
104274;513;85;513
104276;517;85;517
104278;519;85;519
104280;519;85;519
104282;520;85;520
104284;506;85;506
104286;523;85;523
104288;523;85;523
104290;525;85;525
104292;523;85;523
104294;524;85;524
104296;524;85;524
104298;523;85;523
104300;524;85;524
104302;524;85;524
104304;523;85;523
104306;513;85;513
104308;524;85;524
104310;523;85;523
104312;523;85;523
104314;525;85;525
104316;525;85;525
104318;525;85;525
104320;522;85;522
104322;521;85;521
104324;521;85;521
104326;520;85;520
104328;519;85;519
104330;516;85;516
104332;517;85;517
104334;519;85;519
104336;521;85;521
104338;520;85;520
104340;519;85;519
104342;517;85;517
104344;519;85;519
104346;517;85;517
104348;515;85;515
104350;514;85;514
104352;514;85;514
104354;513;85;513
104356;511;85;511
104358;509;85;509
104360;508;85;508
104362;509;85;509
104364;508;85;508
104366;508;85;508
104368;507;85;507
104370;491;85;491
104372;508;85;508
104374;509;85;509
104376;512;85;512
104378;511;85;511
104380;511;85;511
104382;509;85;509
104384;508;85;508
104386;509;85;509
104388;511;85;511
104390;511;85;511
104392;503;85;503
104394;510;85;510
104396;512;85;512
104398;511;85;511
104400;515;85;515
104402;515;85;515
104404;512;85;512
104406;512;85;512
104408;513;85;513
104410;510;85;510
104412;511;85;511
104414;515;85;515
104416;519;85;519
104418;520;85;520
104420;526;85;526
104422;536;85;536
104424;545;85;545
104426;555;86;555
104428;570;86;570
104430;575;86;575
104432;588;86;588
104434;595;86;595
104436;600;86;600
